filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15659,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15593,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-15972,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15435,Customer Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15386,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-15217,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-14982,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-14774,Customer Defect,Release pending,3.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-14726,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-14479,Customer Defect,Release pending,9.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-14340,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-13776,Defect,Release pending,6.0,"SCLOOPW-11139,SCLOOPW-12963,SCLOOPW-1549,SCLOOPW-1639,SCLOOPW-1740,SCLOOPW-789"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-12876,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-12825,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-4929,Customer Defect,Release pending,4.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-16060"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-604,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,ScaleArc,SCALEARC-19758,Defect,Release pending,0.0,
preALP,2021-01-01,ScaleArc,SCALEARC-19756,Defect,In Code Review,,
preALP,2021-01-01,ScaleArc,SCALEARC-14003,Customer Defect,In Code Review,,
