filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,SCLOOPW-4929,SchoolLoop Web,Customer Defect,Release pending,4.0,"SCLOOPW-1376,SCLOOPW-1379,SCLOOPW-1380,SCLOOPW-16060"
preALP,SCLOOPW-604,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,SCALEARC-19758,ScaleArc,Defect,Release pending,0.0,
preALP,SCALEARC-19756,ScaleArc,Defect,In Code Review,,
preALP,SCALEARC-14003,ScaleArc,Customer Defect,In Code Review,,
preALP,SBM-70475,Aurea Process,Defect,Release pending,11.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394,SBM-70554"
preALP,SBM-70473,Aurea Process,Defect,Release pending,2.0,"SBM-70432,SBM-70511"
preALP,SBM-70439,Aurea Process,Defect,Release pending,1.0,SBM-70472
preALP,SBM-70437,Aurea Process,Defect,Release pending,3.0,"SBM-57753,SBM-60827,SBM-70458"
preALP,SBM-70359,Aurea Process,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,SBM-69885,Aurea Process,Defect,Release pending,1.0,SBM-60112
preALP,SBM-69605,Aurea Process,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,SBM-69452,Aurea Process,Defect,Release pending,1.0,SBM-70233
preALP,SARAT-8726,Saratoga,Defect,Release pending,0.0,
preALP,RESPTK-37822,ResponseTek,Customer Defect,Release pending,0.0,
preALP,RESPTK-35897,ResponseTek,Customer Defect,Release pending,2.0,"RESPTK-35342,RESPTK-36135"
preALP,RESPTK-34488,ResponseTek,Defect,Release pending,0.0,
preALP,RESPTK-34471,ResponseTek,Customer Defect,Release pending,2.0,"RESPTK-2029,RESPTK-34972"
preALP,RESPTK-34400,ResponseTek,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,RESPTK-34387,ResponseTek,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,RESPTK-34384,ResponseTek,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,RESPTK-34060,ResponseTek,Defect,Release pending,0.0,
preALP,RESPTK-33962,ResponseTek,Defect,Release pending,2.0,"RESPTK-25068,RESPTK-28408"
preALP,RESPTK-33546,ResponseTek,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,RESPTK-29553,ResponseTek,Customer Defect,Release pending,0.0,
preALP,RESPTK-20692,ResponseTek,Customer Defect,Release pending,0.0,
preALP,QS-821,QuickSilver,Customer Defect,Release pending,0.0,
preALP,QS-659,QuickSilver,Customer Defect,In Code Review,,
preALP,QS-449,QuickSilver,Customer Defect,Release pending,0.0,
preALP,PIVOTAL-30715,Pivotal,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,PIVOTAL-30524,Pivotal,Customer Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,PIVOTAL-30260,Pivotal,Customer Defect,Release pending,2.0,"PIVOTAL-29235,PIVOTAL-30227"
preALP,PIVOTAL-28739,Pivotal,Customer Defect,Release pending,21.0,"PIVOTAL-19662,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,PIVOTAL-28652,Pivotal,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,PIVOTAL-25522,Pivotal,Customer Defect,Release pending,27.0,"PIVOTAL-21789,PIVOTAL-21797,PIVOTAL-21831,PIVOTAL-21834,PIVOTAL-21838,PIVOTAL-21840,PIVOTAL-21841,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,PAUB-32242,"PA Cache, Web & Live",Defect,Release pending,0.0,
preALP,OSCMENT-14787,OneSCM Enterprise,Defect,Release pending,6.0,"OSCMENT-10475,OSCMENT-10489,OSCMENT-117,OSCMENT-14140,OSCMENT-14141,OSCMENT-14142"
preALP,OSCMENT-14700,OneSCM Enterprise,Customer Defect,Reviewed,13.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-10569,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,OSCMENT-14604,OneSCM Enterprise,Defect,Reviewed,12.0,"OSCMENT-10445,OSCMENT-10447,OSCMENT-10449,OSCMENT-10452,OSCMENT-25,OSCMENT-29,OSCMENT-30,OSCMENT-55,OSCMENT-5523,OSCMENT-5524,OSCMENT-5525,OSCMENT-7652"
preALP,OSCMENT-13903,OneSCM Enterprise,Defect,In Code Review,,The issue has no Functional Area affected
preALP,OSCMENT-13503,OneSCM Enterprise,Customer Defect,Release pending,1.0,OSCMENT-13732
preALP,OSCMENT-12515,OneSCM Enterprise,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13396"
preALP,OSCMENT-12513,OneSCM Enterprise,Defect,Release pending,2.0,"OSCMENT-10509,OSCMENT-13215"
preALP,OSCMENT-12498,OneSCM Enterprise,Defect,In Code Review,,
preALP,OSCMENT-12341,OneSCM Enterprise,Defect,Release pending,3.0,"OSCMENT-12064,OSCMENT-12070,OSCMENT-12228"
preALP,OSCMENT-12226,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-9101,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
